;AC_Usuario;AC_Perfil;AC_Opcion;AC_Usuario_Perfil;AC_Perfil_Opcion;AC_Asignar_Opcion;SU_Pais;SU_Ciudad;SU_Empresa;SU_Tipo_Empresa;SU_Tipo_Empresa_Cargo;SU_Cargo;SU_Empresa_Usuario;SU_Titulo;CE_Convocatoria;CE_Tema;CE_Evaluacion;CE_Seccion;CE_Pregunta;CE_Alternativa;CE_Tipo_Pregunta;CE_Tema_Articulo;CE_Evaluacion_Tema_Articulo;CE_Evaluador_Articulo;CE_Respuesta;AE_Categoria;AE_Subcategoria;AE_Categoria_Evento;AE_Subcategoria_Evento;AE_Respuesta_Faq;AE_Pregunta_Faq;AE_Faq;AE_Actividad;AE_Fecha_Evento;GI_Grupo_Investigacion;AE_Organizador;AE_Evento;AE_Tipo_Evento;AE_Asignar_Evento;AE_Auspicio;AE_Material;AE_Tipo_Material;AE_Registro;AE_Material_Registro;AA_Articulo;AA_Autor_Articulo;AE_Evento_Articulo;AE_Conferencista_Evento_Articulo;AE_Conferencista_Evento;AE_Evento_Opcion;AA_Archivo
cr_CE_Alternativa;;;;;;;;;;;;;;;A/M;;A/M;A/M;A/M;O/C;A/M;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
fin_CE_Alternativa;;;;;;;;;;;;;;;A/M;;A/M;A/M;A/M;O/E;A/M;;;;;;;;;;;;;;;;A/M;A/M;;;;;;;;;;;;;
cr_CE_Tipo_Pregunta;;;;;;;;;;;;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_CE_Tipo_Pregunta;;;;;;;;;;;;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_CE_Tema_Articulo;;;;;;;;;;;;;;;A/M;A/M;;;;;;O/C;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;;;;;
fin_CE_Tema_Articulo;;;;;;;;;;;;;;;A/M;A/M;;;;;;O/E;;;;;;;;;;;;;;;A/M;A/M;;;;;;;A/M;;;;;;
cr_CE_Evaluacion_Tema_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;A/M, A/M;A/M;A/M;;;;;A/M;O/C;A/M;;;;;;;;;;;;;A/M, A/M;A/M, A/M;;;;;;;A/M;;;;;;
fin_CE_Evaluacion_Tema_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;A/M, A/M;A/M;A/M;;;;;A/M;O/E;A/M;;;;;;;;;;;;;A/M, A/M;A/M, A/M;;;;;;;A/M;;;;;;
cr_CE_Evaluador_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;O/C;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_CE_Evaluador_Articulo;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;;;;;;;;;;O/E;;;;;;;;;;;;;;;;;;;;;;;;;;;
cr_CE_Respuesta;A/M;A/M;;A/M;;;A/M;A/M;;;;;;A/M;A/M, A/M;A/M;A/M;;;;;A/M;A/M;A/M;O/C;;;;;;;;;;;;A/M, A/M;A/M, A/M;;;;;;;A/M;;;;;;
